Geneid	B_DNR_24	B_DNR_3	B_DOX_3	B_EPI_24	B_EPI_3	B_MTX_24	B_VEH_24	B_VEH_3	A_DNR_24	A_DNR_3	A_DOX_24	A_DOX_3	A_MTX_24	A_MTX_3	A_VEH_24	A_VEH_3	C_DNR_24	C_DNR_3	C_DOX_24	C_EPI_24	C_EPI_3	C_MTX_24	C_MTX_3	C_VEH_24	C_VEH_3
chr1.248820891.248821676	9	5	4	0	1	18	4	11	5	3	1	0	22	8	11	5	3	4	13	4	2	2	9	15	1
chr1.248824918.248826974	54	71	68	23	17	35	9	38	40	18	27	12	56	24	59	31	16	11	53	24	9	19	21	50	7
chr1.248837768.248839343	69	101	92	26	22	48	4	42	47	31	34	16	93	46	85	31	27	18	59	31	11	27	21	68	11
chr1.248857697.248859872	33	52	35	16	4	12	10	38	20	13	17	21	42	26	43	15	19	3	23	11	8	13	18	43	6
chr1.248872536.248874228	31	30	28	13	9	18	5	14	26	15	12	8	54	10	35	9	16	6	28	9	4	5	14	16	3
chr1.248905820.248907505	45	39	48	9	10	23	2	27	21	19	14	15	79	17	52	16	20	9	24	13	7	8	17	31	6
chr10.133114.137250	101	151	121	24	36	71	23	58	71	66	55	39	137	61	120	46	41	15	103	48	30	20	58	95	24
chr10.372802.374439	40	10	17	14	1	18	4	9	33	4	18	4	34	13	35	18	16	8	50	18	6	6	17	29	2
chr10.598307.599122	9	12	6	5	7	17	4	11	4	3	0	2	12	8	10	8	0	2	8	4	2	6	10	16	3
chr10.624119.625733	35	21	18	21	6	31	7	18	11	6	9	4	42	25	25	11	20	4	33	19	7	10	19	41	9
chr10.688590.690295	44	37	19	13	12	23	2	14	14	7	13	4	25	17	20	12	10	7	24	3	3	11	8	21	2
chr10.909744.910506	13	5	5	4	0	10	3	8	10	8	7	3	21	12	21	11	3	1	14	8	6	2	6	20	2
chr10.930314.932482	75	88	71	20	17	34	15	39	49	24	34	13	80	30	52	25	16	12	35	16	19	12	27	58	5
chr10.986298.988940	84	50	59	23	18	34	9	21	44	31	30	14	83	27	49	18	28	7	30	17	18	10	12	37	7
chr10.1048103.1050105	52	47	65	16	8	25	5	32	35	24	15	14	67	24	42	19	8	5	28	7	7	12	15	40	1
chr10.1055836.1057546	52	53	49	19	18	24	6	13	24	24	12	18	44	21	21	11	13	10	30	11	9	7	13	42	3
chr10.3045345.3047251	59	44	27	20	10	45	10	34	50	12	16	6	76	20	67	13	20	2	41	16	8	7	14	69	8
chr10.3065690.3070028	95	91	85	33	14	38	9	35	52	45	36	24	144	49	116	33	31	14	87	32	19	18	35	79	8
chr10.3090302.3091703	25	27	17	8	3	22	2	12	17	11	12	10	39	12	25	11	6	3	19	6	4	5	9	17	5
chr10.3092720.3096988	86	55	41	26	12	34	3	26	39	27	20	23	90	13	52	19	36	11	78	29	10	7	29	34	5
chr10.3098904.3100280	33	12	6	9	5	7	3	9	31	13	25	7	39	8	17	5	12	4	21	16	1	4	7	11	2
chr10.3111478.3112302	13	5	7	7	1	7	2	5	8	6	5	2	8	5	13	8	5	0	22	5	2	3	6	9	0
chr10.3125793.3127616	31	14	14	9	2	19	6	10	18	15	13	4	37	13	22	14	7	4	28	10	12	4	13	27	3
chr10.3172189.3173328	24	30	24	22	7	18	10	12	15	12	8	12	43	12	36	15	6	3	10	24	4	12	10	18	4
chr10.3500279.3500831	9	18	17	2	3	14	3	6	2	3	2	1	11	5	6	3	10	3	10	6	2	0	5	11	1
chr10.3574251.3575541	23	19	16	10	3	21	3	9	19	7	8	6	26	8	13	9	16	3	23	9	5	5	12	20	1
chr10.3749653.3750481	26	21	11	9	4	11	1	6	20	5	12	1	20	4	7	5	9	4	13	5	5	3	1	15	4
chr10.3754887.3756002	42	14	8	15	2	15	0	8	21	8	8	5	28	5	11	10	12	1	16	10	1	5	0	7	1
chr10.3775003.3776506	29	19	18	12	5	14	6	14	25	7	27	5	26	7	11	11	11	3	10	7	4	3	6	14	2
chr10.3778907.3787106	252	189	138	84	37	116	26	108	223	97	122	57	343	98	176	69	92	34	186	65	32	36	74	110	25
chr10.3809710.3810660	27	7	7	7	1	16	4	9	20	3	11	3	21	8	9	3	1	1	16	2	4	2	5	3	0
chr10.3811289.3811871	3	18	7	6	3	11	4	8	11	10	3	5	11	8	9	5	1	4	8	2	3	0	0	12	1
chr10.3827308.3828752	39	26	24	8	4	18	9	8	29	30	13	9	38	13	23	14	5	3	14	5	4	5	8	14	1
chr10.3852144.3853118	36	16	8	13	3	13	4	8	19	3	7	0	20	6	8	10	8	2	15	10	3	4	5	8	0
chr10.3887922.3888379	9	4	3	3	2	11	2	2	6	6	5	1	16	4	8	2	1	0	4	1	1	0	2	5	0
chr10.3911463.3912820	32	31	11	11	6	4	4	8	22	13	9	5	20	17	15	10	18	6	35	6	6	9	9	18	5
chr10.4196531.4197466	17	18	14	3	4	7	3	10	9	12	9	6	20	8	8	9	2	3	10	1	0	1	2	15	2
chr10.4241422.4244158	51	51	51	19	8	22	5	22	42	32	21	22	87	27	47	16	19	9	42	19	18	9	17	34	13
chr10.4343930.4345240	34	40	27	10	7	28	4	28	14	13	6	12	49	17	34	13	9	5	18	16	9	4	11	36	6
chr10.4469800.4470889	10	21	16	5	3	11	6	6	6	6	4	4	14	7	6	7	10	3	12	2	2	3	4	8	3
chr10.4661382.4664097	94	80	68	27	20	53	14	50	67	53	37	18	109	37	86	32	45	13	56	26	16	12	23	69	14
chr10.4867376.4868357	22	13	15	11	2	7	6	12	16	4	6	3	28	6	11	11	5	3	20	15	1	3	4	16	1
chr10.5071167.5072233	28	14	23	8	4	11	1	13	18	5	13	4	28	10	22	10	22	3	37	5	3	4	6	17	6
chr10.5446350.5446842	12	13	14	5	1	8	3	3	8	5	3	0	16	6	12	2	4	0	10	3	1	1	6	12	2
chr10.5466269.5466828	11	4	8	4	3	8	2	3	5	1	1	1	7	5	10	2	3	1	12	1	1	2	5	12	4
chr10.5684538.5686215	36	48	28	11	7	18	4	7	23	37	20	9	45	12	23	9	11	7	17	12	3	7	8	23	3
chr10.5812454.5814278	47	64	58	12	18	28	4	26	36	26	26	16	75	26	38	24	17	15	35	24	10	7	12	41	3
chr10.5888590.5891281	50	94	79	26	17	30	6	31	52	30	33	27	95	27	69	26	18	10	42	23	18	13	20	45	7
chr10.5977198.5978386	20	15	12	9	3	9	5	6	8	8	3	5	19	7	16	6	4	1	11	3	1	5	7	3	1
chr10.6088804.6089971	32	43	39	6	20	20	4	10	13	17	13	8	26	21	19	10	10	6	17	4	6	2	10	30	5
chr10.6151212.6151846	16	2	3	2	1	11	4	0	0	2	5	3	5	5	13	5	4	0	6	2	2	0	3	8	7
chr10.6163220.6165566	35	25	19	12	12	38	16	25	13	10	13	22	52	22	49	26	18	4	48	13	5	9	27	62	9
chr10.6202330.6203738	23	14	13	5	5	14	2	14	9	6	9	9	34	11	26	8	5	2	11	8	2	6	5	20	5
chr10.6221552.6223376	18	6	8	13	4	20	6	19	9	9	5	4	23	12	27	16	9	4	29	10	6	9	17	31	11
chr10.6748594.6749526	36	13	9	9	6	14	5	9	17	2	10	1	11	7	23	7	6	2	8	8	0	3	8	7	2
chr10.7787033.7789632	44	64	72	19	22	40	9	23	37	41	21	20	101	40	62	24	12	10	55	17	10	11	34	44	10
chr10.7797247.7797972	12	10	13	4	1	21	3	9	9	8	8	5	35	11	14	8	11	4	10	5	0	9	3	17	0
chr10.7818335.7819521	22	29	26	7	8	22	7	9	22	16	9	8	25	12	25	13	6	3	14	7	4	6	13	17	2
chr10.9824686.9826009	79	26	16	23	3	21	8	1	55	8	21	4	26	10	12	5	25	7	42	14	10	6	15	13	3
chr10.10792232.10793347	32	33	25	7	5	27	3	10	27	12	7	7	38	14	17	6	12	5	27	18	5	5	12	27	3
chr10.10871921.10872890	12	16	8	6	4	13	6	10	14	5	2	6	24	7	11	2	3	4	9	6	3	2	5	18	1
chr10.10891198.10891914	12	12	10	7	3	7	1	2	7	3	3	4	23	9	9	8	7	2	8	3	3	3	7	15	1
chr10.10910846.10912578	28	32	31	7	6	32	8	21	26	13	13	14	73	17	43	21	12	12	51	14	9	10	10	38	8
chr10.10913897.10914809	17	21	17	7	5	16	3	12	11	9	0	5	39	13	19	13	7	4	12	9	8	5	13	21	3
chr10.11017034.11020120	94	79	67	26	20	39	8	34	62	42	38	26	120	28	52	30	33	17	78	29	17	11	27	66	17
chr10.11164840.11166893	35	33	11	11	5	15	7	15	23	10	18	8	65	19	41	16	10	3	20	7	7	7	13	30	4
chr10.11177592.11178970	24	16	16	6	7	16	2	8	17	8	7	10	51	16	30	16	6	2	17	5	2	5	19	21	7
chr10.11224791.11225504	2	13	3	4	0	13	2	6	3	1	2	4	18	6	17	8	0	2	12	4	1	1	2	19	0
chr10.11335113.11336011	17	11	11	11	3	15	3	8	9	4	5	5	24	7	17	7	2	3	7	4	2	3	9	7	2
chr10.11338316.11339418	10	7	4	6	0	10	5	13	2	6	4	4	22	12	28	15	5	3	14	5	6	1	5	24	3
chr10.11610905.11612096	25	31	20	5	10	18	3	8	15	12	8	4	26	14	29	13	4	1	19	6	5	4	9	22	6
chr10.11757226.11758566	21	13	6	7	2	8	4	10	18	7	14	9	36	10	23	14	17	4	19	14	4	4	10	15	2
chr10.11793501.11794677	25	10	8	11	4	18	5	14	9	4	8	3	18	7	20	2	7	2	21	6	2	11	5	17	3
chr10.11823017.11824232	35	16	13	9	3	13	4	9	19	6	12	5	20	13	21	6	13	5	19	6	4	5	8	14	6
chr10.11868595.11872443	77	87	74	22	14	39	15	38	60	33	34	14	97	27	74	34	28	14	54	24	8	14	24	53	11
chr10.11874148.11876805	80	77	67	25	16	46	14	39	57	28	29	27	93	30	57	21	29	8	78	20	13	17	25	62	7
chr10.11880312.11881265	8	7	10	5	2	6	2	8	10	4	0	5	12	1	12	20	4	3	9	5	3	1	3	5	3
chr10.11881510.11882548	30	12	10	9	0	16	9	9	20	5	5	4	17	5	20	13	14	1	13	5	1	2	4	17	2
chr10.11897665.11899031	34	15	7	13	7	17	3	7	27	5	12	5	25	17	25	13	8	1	27	8	3	6	9	14	2
chr10.12041735.12043637	63	75	68	18	14	32	8	41	44	29	34	18	79	38	64	29	23	12	46	39	10	19	13	66	5
chr10.12068637.12069242	19	9	11	2	3	13	2	13	9	9	9	3	26	3	18	3	4	1	10	5	1	2	3	15	3
chr10.12129083.12130247	28	31	32	11	5	19	4	22	16	10	10	10	30	18	29	8	16	0	22	13	2	6	12	26	5
chr10.12194511.12196759	42	32	46	7	22	22	9	15	34	24	16	8	66	21	38	12	16	11	39	16	7	9	23	38	4
chr10.12234624.12236874	52	28	31	12	7	30	9	17	30	13	9	9	39	11	25	14	15	7	51	16	8	8	27	34	10
chr10.12241798.12242652	16	16	13	11	4	11	3	12	15	6	7	3	18	14	25	8	10	7	17	9	4	5	11	23	1
chr10.12484709.12485725	17	13	24	12	1	14	3	8	6	4	2	7	39	10	27	16	9	2	29	15	7	9	4	27	2
chr10.13099180.13100926	61	48	24	17	9	17	1	16	29	16	17	13	32	17	33	11	15	3	21	13	5	8	12	27	2
chr10.13299308.13300240	33	48	19	8	5	12	5	14	11	13	11	10	41	16	39	12	16	4	16	7	7	7	12	21	4
chr10.13346547.13349004	36	68	65	18	19	43	5	34	18	23	27	15	83	25	49	15	19	10	41	10	12	4	34	68	9
chr10.13685687.13686604	13	12	8	4	2	11	3	8	7	9	3	6	23	13	21	11	5	2	10	4	8	3	15	13	1
chr10.13707252.13707995	17	14	10	8	2	7	4	8	6	7	6	2	16	7	11	4	5	2	10	7	0	4	5	9	3
chr10.13757609.13759148	60	29	26	9	2	19	3	7	46	7	19	5	25	6	11	4	13	6	32	10	6	4	10	14	3
chr10.14404597.14405684	37	27	9	12	3	13	1	4	10	7	12	6	12	4	13	6	8	3	12	8	1	2	4	5	1
chr10.14449844.14450783	14	16	14	4	3	9	1	10	15	4	5	2	28	12	19	3	8	2	23	8	1	0	4	9	1
chr10.14603537.14604590	18	15	16	4	5	6	0	8	6	7	1	6	18	1	15	9	4	3	11	7	2	6	2	10	4
chr10.14648337.14649527	23	4	5	11	0	1	1	0	18	2	11	3	10	5	7	2	5	0	14	6	1	2	1	6	1
chr10.14712651.14713970	15	20	21	3	3	17	4	15	4	2	3	4	5	5	3	7	4	2	22	11	11	7	22	17	6
chr10.14836904.14839262	45	58	53	22	15	25	8	38	26	27	15	22	77	31	60	23	20	7	34	10	14	16	34	56	14
chr10.14876645.14877301	5	10	11	4	1	10	2	7	6	3	2	10	11	7	6	4	2	2	10	1	2	1	2	13	3
chr10.14877880.14879557	30	58	52	14	16	32	8	29	24	27	12	16	81	31	52	15	15	9	32	18	13	9	13	34	7
chr10.14953060.14954463	21	26	18	5	9	25	3	11	14	8	12	8	32	15	25	12	8	2	13	6	4	4	3	14	1
chr10.14959211.14960485	23	35	27	10	4	25	3	18	30	19	14	9	49	16	37	17	15	7	25	16	10	4	16	31	3
chr10.15096613.15098160	39	40	45	10	12	20	9	20	37	14	17	14	49	11	37	15	16	10	20	9	8	8	14	37	6
chr10.15167659.15169305	47	58	49	15	14	32	3	28	38	27	26	7	85	31	72	18	15	4	39	23	13	18	19	41	9
chr10.15369679.15371442	31	36	28	9	10	7	10	12	20	19	12	11	23	9	26	14	18	4	23	7	5	4	10	15	5
chr10.15859857.15860615	19	22	5	4	3	11	5	9	7	11	9	6	18	10	6	3	6	1	11	4	2	2	3	10	2
chr10.16816803.16818180	31	32	21	12	5	23	3	15	25	16	20	7	55	6	47	19	13	6	19	6	3	10	9	31	6
chr10.17010510.17011274	10	20	21	1	3	13	3	11	9	1	5	5	34	16	24	15	6	1	6	2	3	1	6	22	0
chr10.17200870.17202236	60	41	30	14	8	43	9	25	26	21	12	13	68	24	63	23	24	8	39	22	5	6	10	51	4
chr10.17227441.17230937	100	117	66	32	15	50	9	49	78	41	37	21	140	59	59	34	37	15	74	28	14	25	21	68	6
chr10.17616147.17617913	52	53	57	21	7	53	11	37	22	23	19	18	136	37	80	30	25	11	61	31	12	11	29	68	23
chr10.17643182.17645004	88	90	85	27	23	63	6	42	72	68	43	26	129	49	75	36	27	22	61	36	20	14	37	75	12
chr10.17673512.17674491	39	16	17	5	1	31	7	9	18	12	7	5	46	12	25	9	21	6	13	7	2	9	9	13	4
chr10.17835632.17837434	21	22	28	11	6	15	8	8	16	14	5	9	40	8	18	7	13	3	34	9	1	4	10	12	2
chr10.17912400.17913895	14	19	16	3	1	13	6	4	20	13	8	8	27	16	20	15	10	4	23	5	4	5	16	26	6
chr10.17914218.17915154	25	11	14	2	3	12	12	8	18	24	13	8	45	13	16	11	8	1	10	4	4	1	7	19	3
chr10.18140037.18142231	47	58	41	9	10	11	8	17	28	42	19	19	64	12	30	16	25	5	38	14	10	11	17	39	7
chr10.18178768.18180935	31	35	27	8	4	24	11	12	19	16	11	8	61	9	35	15	12	3	32	16	12	6	11	52	9
chr10.18340497.18341406	11	23	9	4	1	9	2	8	13	11	9	5	30	16	14	4	7	5	19	8	5	4	8	25	9
chr10.18465962.18466939	12	10	9	1	2	5	3	3	4	6	3	8	29	11	19	7	2	3	14	7	4	2	7	19	4
chr10.18473117.18474845	54	52	34	8	11	32	6	12	27	24	11	12	48	19	44	30	16	12	40	20	10	4	28	34	9
chr10.18627463.18628056	26	14	16	9	5	12	3	10	19	5	7	2	25	10	16	6	8	1	13	3	0	4	4	12	1
chr10.18658820.18660444	43	70	45	12	9	27	9	20	35	30	9	13	52	18	37	12	12	12	29	6	4	14	13	40	3
chr10.19815570.19817765	38	29	25	14	7	17	2	15	19	19	20	11	59	14	37	10	15	7	22	9	8	7	10	20	5
chr10.20596293.20598009	22	37	21	5	5	19	5	15	19	17	5	8	44	16	19	11	6	8	24	22	8	7	19	25	9
chr10.20598544.20599241	23	13	28	10	1	8	6	10	12	9	4	5	16	12	7	6	5	5	8	10	0	4	10	10	3
chr10.20889908.20898138	108	99	91	23	14	74	23	52	99	69	52	40	290	55	139	69	57	19	98	37	24	12	67	144	26
chr10.20898639.20899446	4	9	7	2	1	11	1	5	1	6	4	5	13	5	9	4	3	2	11	0	2	1	3	12	2
chr10.20954412.20955622	13	16	11	6	0	7	5	8	7	5	3	9	34	14	16	9	5	5	10	6	0	5	14	22	7
chr10.20963609.20964323	19	9	11	8	1	10	0	3	15	6	5	3	19	9	15	8	3	1	9	9	2	3	6	7	1
chr10.21290675.21291599	16	21	14	4	5	6	3	8	13	9	8	6	12	10	16	7	2	1	14	5	3	3	7	15	2
chr10.21292749.21294401	29	32	21	14	6	18	4	15	16	14	20	10	36	21	20	7	14	9	40	15	4	4	14	21	6
chr10.21313898.21316761	103	65	72	27	10	41	14	27	90	17	63	19	92	30	62	36	38	16	77	29	13	16	37	72	12
chr10.21336207.21337471	38	32	29	13	12	19	12	14	32	18	11	6	36	17	26	20	14	9	33	13	6	6	16	32	1
chr10.21349739.21350769	22	18	17	5	6	10	3	4	8	9	6	6	16	6	7	13	8	3	14	8	5	2	4	13	4
chr10.21364163.21365360	28	18	10	11	3	10	4	1	23	9	19	5	11	5	6	7	12	2	16	9	1	2	13	9	1
chr10.21368893.21370302	19	16	19	4	6	16	4	10	21	10	15	7	18	9	13	11	9	1	27	5	2	5	9	23	2
chr10.21399206.21400201	14	16	14	1	0	6	7	10	6	3	2	8	14	7	14	2	5	0	14	5	6	4	6	15	3
chr10.21494310.21497664	116	103	71	39	30	37	6	51	52	62	56	34	157	34	96	42	56	22	82	32	30	13	41	99	9
chr10.21508013.21510737	31	30	35	14	10	21	8	18	26	29	14	24	66	18	55	23	9	12	46	8	6	5	20	40	13
chr10.21515254.21519514	68	82	80	25	23	40	12	41	56	56	54	30	159	33	99	34	34	22	76	34	17	18	34	94	15
chr10.21519816.21520661	15	11	10	4	0	5	5	9	10	3	6	2	19	4	12	8	5	1	5	6	0	4	5	17	2
chr10.21524422.21528210	93	142	126	27	24	80	13	76	78	80	42	44	266	55	112	54	40	21	120	44	32	17	66	134	17
chr10.21532770.21535693	81	95	97	32	37	73	8	56	51	69	60	37	198	47	122	47	43	19	89	30	17	15	50	110	18
chr10.21727519.21728522	21	7	8	6	1	8	4	2	23	3	9	0	9	2	5	2	8	2	13	2	2	6	4	0	2
chr10.22002693.22003922	34	44	36	7	7	23	1	12	18	20	9	7	55	17	40	11	10	7	17	9	6	11	11	24	2
chr10.22229122.22229566	11	10	8	6	4	7	2	6	4	5	3	4	24	5	16	7	2	1	7	2	0	11	4	13	0
chr10.22315775.22317186	30	42	23	5	10	12	1	6	16	19	8	10	33	15	24	8	6	4	14	5	4	9	11	20	3
chr10.22320325.22322030	25	37	24	6	12	17	0	16	8	13	13	10	51	12	26	9	14	9	17	14	8	7	11	20	5
chr10.22340413.22341467	20	17	17	8	7	10	1	5	7	9	4	5	28	5	22	1	9	1	15	8	4	6	6	17	3
chr10.22617423.22619156	44	21	20	10	3	27	4	8	37	8	20	4	39	9	17	9	13	2	13	7	6	5	14	15	3
chr10.22713684.22714727	16	23	7	7	1	8	2	12	7	5	10	4	21	11	18	10	7	3	11	6	1	5	5	7	2
chr10.23047052.23047897	33	9	7	6	2	7	3	7	13	6	4	7	11	2	7	2	10	0	16	9	3	2	3	6	1
chr10.23095339.23096545	28	47	24	20	6	22	7	12	21	25	21	9	32	20	27	8	11	5	13	9	11	5	9	25	5
chr10.23399353.23400499	39	46	28	9	10	42	5	21	27	23	7	9	37	12	28	14	16	8	23	13	7	11	14	32	12
chr10.23438463.23440923	43	87	80	17	15	34	5	32	35	50	26	34	107	30	59	39	28	12	46	16	5	15	30	59	12
chr10.24008629.24009705	29	20	22	7	2	9	8	7	10	6	5	5	5	4	9	1	4	2	20	8	0	3	3	5	2
chr10.24208623.24209489	18	24	12	4	2	9	2	6	9	14	5	4	23	16	11	6	7	5	14	8	4	7	9	11	4
chr10.24255180.24257175	79	31	27	26	5	23	5	2	46	14	24	6	37	13	12	13	24	7	50	15	7	11	13	20	2
chr10.24525909.24526714	6	14	12	3	1	13	1	9	6	6	1	10	14	10	24	10	1	6	12	7	5	5	8	20	4
chr10.24721216.24725223	86	141	95	22	29	48	8	34	67	53	43	39	93	37	68	23	29	16	71	23	15	20	30	68	20
chr10.24762328.24763436	13	25	17	5	5	11	3	6	6	10	4	5	17	10	16	5	3	4	13	5	7	5	10	19	3
chr10.25016156.25017527	35	48	33	26	10	25	3	15	18	18	13	11	46	19	40	13	16	6	20	12	7	4	13	35	2
chr10.25059744.25060668	20	7	9	5	2	12	2	4	17	6	12	5	14	5	6	4	6	1	6	4	3	0	2	3	0
chr10.25068065.25068948	26	20	8	10	3	8	0	7	21	2	8	2	12	7	5	1	4	2	19	5	1	2	2	2	0
chr10.25080939.25083230	19	13	29	4	4	23	12	23	17	23	6	7	66	22	32	24	10	5	24	13	8	7	14	46	4
chr10.25493132.25494037	35	24	26	16	3	27	3	12	18	8	10	6	38	16	17	7	5	4	19	17	0	4	3	15	3
chr10.25495854.25496694	23	15	8	8	1	6	4	6	24	7	14	5	13	7	13	4	11	3	12	5	5	1	6	6	3
chr10.25501442.25503148	43	35	26	12	3	23	7	16	18	14	10	7	32	9	18	9	6	5	24	7	1	6	11	16	5
chr10.25681771.25683003	30	16	23	2	1	11	2	9	14	8	7	12	25	14	17	9	8	4	28	4	5	3	7	15	1
chr10.26697017.26698634	37	37	45	4	8	15	3	21	16	22	9	10	45	16	41	18	7	10	30	14	4	7	24	33	2
chr10.26857608.26861314	87	134	106	28	29	41	11	30	52	101	43	31	110	49	74	31	30	24	72	28	23	9	41	46	7
chr10.27099916.27100671	15	28	15	11	4	15	4	9	15	4	8	5	31	7	17	12	6	4	17	7	3	8	8	23	2
chr10.27153567.27156534	46	93	92	11	19	28	9	21	52	51	28	31	63	34	57	17	16	2	27	23	7	6	18	35	6
chr10.27239764.27243493	99	117	110	22	29	51	19	41	64	50	38	25	172	42	118	31	50	18	75	22	20	14	33	70	10
chr10.27503672.27505266	48	61	41	16	10	27	6	19	40	25	21	19	67	24	34	10	14	11	39	12	8	6	18	42	3
chr10.28291327.28292582	52	27	14	17	2	33	3	9	51	17	12	6	53	17	22	15	17	3	28	10	3	4	6	21	3
chr10.28302204.28303387	45	42	35	21	15	30	3	24	25	23	12	8	83	19	44	14	15	9	31	13	8	10	12	33	7
chr10.28326397.28328260	68	43	37	24	14	31	9	21	45	28	27	17	89	19	56	18	33	12	45	29	14	7	24	38	7
chr10.28531915.28534485	101	114	111	28	20	51	12	34	49	66	40	24	136	62	79	27	40	20	65	16	13	15	33	63	14
chr10.28558769.28559906	16	24	16	1	1	10	1	7	10	16	7	5	29	11	15	10	7	6	12	8	3	3	6	19	2
chr10.28668323.28669364	19	28	13	6	1	18	4	8	15	14	11	3	28	13	22	9	10	4	16	10	8	2	7	16	2
chr10.28676695.28680572	88	126	90	30	32	59	12	57	55	60	50	42	248	70	154	53	41	24	115	46	21	27	47	154	23
chr10.28680744.28682821	25	23	25	6	7	14	7	15	23	19	22	13	65	12	31	18	16	7	37	16	8	4	12	37	5
chr10.28704584.28705601	11	19	10	0	1	7	5	4	5	12	2	4	9	9	8	7	4	2	9	3	4	2	12	17	4
chr10.28721285.28722804	21	19	11	9	3	18	5	14	6	7	9	6	38	5	26	6	9	4	23	12	3	4	16	19	1
chr10.28806716.28808545	34	22	19	14	5	24	6	13	28	13	16	7	39	6	23	8	11	3	31	17	4	2	7	19	4
chr10.28838660.28840364	32	23	20	11	5	25	2	8	16	9	15	5	52	14	22	6	12	3	28	8	7	4	11	19	6
chr10.28990828.28992390	18	21	14	4	2	28	8	19	13	9	8	7	28	10	19	15	5	0	25	5	9	3	6	24	9
chr10.29063729.29065158	31	16	7	11	3	23	8	15	19	11	17	4	21	5	18	12	4	5	27	9	5	7	11	16	1
chr10.29105234.29106645	19	8	17	8	4	20	2	12	10	5	10	4	27	6	13	8	6	4	10	10	3	4	8	12	1
chr10.29112929.29114016	19	21	16	3	2	12	3	7	14	11	5	5	32	8	27	11	12	5	27	6	2	5	8	19	3
chr10.29231441.29232339	4	9	6	2	2	2	2	7	4	8	2	0	19	5	17	10	3	3	13	6	3	1	6	14	6
chr10.29237345.29238399	12	8	9	7	4	9	1	6	7	7	5	2	22	2	15	6	8	3	12	0	3	1	4	26	2
chr10.29252832.29255327	76	35	28	18	12	38	5	15	47	25	26	17	61	19	45	18	33	5	55	16	13	12	26	46	9
chr10.29256046.29258026	28	23	30	12	5	17	8	11	21	18	16	5	37	16	26	11	11	9	33	9	11	6	19	26	5
chr10.29322647.29323277	6	15	7	4	1	13	2	6	5	4	0	5	19	1	8	4	3	2	8	6	0	2	6	12	1
chr10.29574362.29575417	13	10	10	6	1	13	3	4	24	9	9	3	20	3	5	2	5	2	8	7	1	0	4	3	2
chr10.29598653.29599266	10	6	7	2	2	14	2	8	4	2	1	3	29	5	9	3	3	2	6	4	0	1	6	15	1
chr10.29632764.29636345	68	74	57	26	12	44	11	25	58	54	35	20	167	34	87	29	19	20	44	17	20	7	30	75	14
chr10.29658935.29659551	26	5	7	8	5	17	1	3	14	5	10	4	18	4	17	5	4	2	7	6	1	5	5	6	1
chr10.29724760.29726059	33	21	22	14	4	23	9	9	39	17	13	7	51	10	38	15	12	4	38	16	4	8	8	21	1
chr10.29734876.29737304	50	45	38	21	13	22	7	18	25	26	26	15	87	30	49	21	22	10	36	14	6	7	13	45	9
chr10.29865393.29866537	9	23	17	3	4	8	3	6	3	10	4	5	16	7	13	3	5	3	15	3	4	6	7	13	2
chr10.30058461.30060041	30	23	24	9	3	10	4	5	10	13	11	8	21	9	11	8	10	5	7	5	7	6	6	11	0
chr10.30182332.30183481	23	18	15	12	3	20	3	27	12	5	8	8	19	7	30	17	7	2	24	7	1	12	15	14	5
chr10.30348519.30349354	27	22	32	1	10	11	4	8	17	19	9	8	17	11	13	2	9	4	5	3	4	2	7	11	1
chr10.30433062.30434938	34	55	44	16	11	36	9	20	33	26	17	10	54	21	45	17	9	8	25	8	5	11	20	41	2
chr10.31031092.31032734	45	41	37	17	14	27	5	22	17	15	10	16	71	22	48	23	13	5	38	11	10	8	13	51	2
chr10.31133847.31134383	7	10	6	2	2	6	1	6	7	8	3	2	14	4	8	5	6	0	7	7	4	3	3	18	2
chr10.31318212.31320795	57	69	49	24	16	27	7	21	30	39	26	21	48	20	46	14	15	6	47	21	10	10	14	39	4
chr10.31754556.31755977	10	10	7	4	2	11	5	17	7	5	3	6	11	8	14	10	3	4	17	2	5	1	9	25	1
chr10.31759604.31761074	38	19	17	8	9	23	4	18	18	15	8	7	36	12	35	15	13	2	23	7	3	10	9	31	3
chr10.31816013.31817417	9	6	4	2	1	16	4	15	8	7	5	6	33	14	32	11	4	1	14	2	8	3	9	22	3
chr10.31927443.31929781	40	78	54	12	12	27	7	17	30	57	25	18	70	31	55	18	17	8	30	12	3	9	19	35	4
chr10.32054916.32056663	52	88	72	19	18	31	7	25	36	61	25	23	80	40	57	30	19	16	40	23	12	16	21	40	6
chr10.32269633.32270207	13	17	12	1	1	6	3	8	8	15	3	4	12	7	11	4	2	1	4	3	5	0	3	13	3
chr10.32346000.32347704	89	78	62	27	20	38	15	38	41	38	34	22	219	57	77	37	33	10	55	24	17	11	36	75	10
chr10.32378373.32380023	23	25	18	5	4	15	8	19	13	12	9	7	45	10	23	13	6	3	20	12	6	2	14	17	1
chr10.32445740.32446913	23	22	18	7	7	18	6	12	19	15	6	9	31	6	23	19	6	2	26	9	2	8	10	16	2
chr10.32938397.32939121	10	15	10	4	1	5	2	2	6	8	4	2	19	2	11	3	6	2	12	3	3	5	5	10	2
chr10.32939497.32940006	11	15	5	3	1	3	5	5	15	5	6	7	15	4	3	4	4	3	6	5	1	1	2	8	4
